	Date	PX_LAST	PX_VOLUME	Valuation
PRDL US Equity	12/29/06	4.8	20642	99081.6
PRDL US Equity	9/29/06	3	79928	239784
PRDL US Equity	6/30/06	9.6	33129	318038.4
PRDL US Equity	3/31/06	15.6	6306	98373.6
PRDL US Equity	12/30/05	12	2765	33180
PRDL US Equity	9/30/05	14.4	4751	68414.4
PRDL US Equity	6/30/05	7.8	8552	66705.6
PRDL US Equity	3/31/05	19.2	43304	831436.8
PRDL US Equity	12/31/04	60	35045	2102700
PRDL US Equity	9/30/04	102	4594	468588
PRDL US Equity	6/30/04	250.575	980	245563.5
PRDL US Equity	3/31/04	360	244	87840
PRDL US Equity	12/31/03	300	215	64500
PRDL US Equity	9/30/03	719.9999	227	163439.9773
PRDL US Equity	6/30/03	1055.9999	223	235487.9777
PRDL US Equity	3/31/03	1211.9999	390	472679.961
PRDL US Equity	12/31/02	480	479	229920
PRDL US Equity	9/30/02	336	139	46704
PRDL US Equity	6/28/02	48	86	4128
PRDL US Equity	3/28/02	540	109	58860
PRDL US Equity	12/31/01	911.9999	227	207023.9773
PRDL US Equity	9/28/01	2399.9998	152	364799.9696
PRDL US Equity	6/29/01	3599.9997	188	676799.9436
PRDL US Equity	3/30/01	11519.9991	102	1175039.908
PRDL US Equity	12/29/00	719.9999	3	2159.9997
PRDL US Equity	9/29/00	2399.9998	1	2399.9998
PRDL US Equity	6/30/00	5999.9995	16	95999.992
PRDL US Equity	3/31/00	24479.998	35	856799.93
NETO US Equity	9/29/17	0	2300	
NETO US Equity	6/30/17	0	8348	
NETO US Equity	3/31/17	0.0001	2260	0.226
NETO US Equity	12/30/16	0.001	9730	9.73
NETO US Equity	9/30/16	0.001	14201	14.201
NETO US Equity	6/30/16	0.0001	410	0.041
NETO US Equity	3/31/16	0.0001	3030	0.303
NETO US Equity	12/31/15	0.0001	2815	0.2815
NETO US Equity	9/30/15	0.001	14600	14.6
NETO US Equity	6/30/15	0.0001	58785	5.8785
NETO US Equity	3/31/15	0.001	149555	149.555
NETO US Equity	12/31/14	0.001	38705	38.705
NETO US Equity	9/30/14	0.001	275	0.275
NETO US Equity	6/30/14	0.0001	563	0.0563
NETO US Equity	3/31/14	0.0001	2340	0.234
NETO US Equity	12/31/13	0.0001	21700	2.17
NETO US Equity	9/30/13	0.0001	100	0.01
NETO US Equity	3/28/13	0.0001	208894	20.8894
NETO US Equity	12/31/12	0.0002	67840	13.568
NETO US Equity	9/28/12	0.0002	50100	10.02
NETO US Equity	6/29/12	0.0002	594016	118.8032
NETO US Equity	3/30/12	0.0002	12415	2.483
NETO US Equity	12/30/11	0.0002	507058	101.4116
NETO US Equity	9/30/11	0.0006	36113	21.6678
NETO US Equity	6/30/11	0.0008	51330	41.064
NETO US Equity	3/31/11	0.0006	404786	242.8716
NETO US Equity	12/31/10	0.002	582204	1164.408
NETO US Equity	9/30/10	0.001	82663	82.663
NETO US Equity	6/30/10	0.002	98000	196
NETO US Equity	3/31/10	0.0035	469042	1641.647
NETO US Equity	12/31/09	0.003	3198340	9595.02
NETO US Equity	9/30/09	0.0012	114677	137.6124
NETO US Equity	6/30/09	0.0011	24169	26.5859
NETO US Equity	3/31/09	0.0011	32854	36.1394
NETO US Equity	12/31/08	0.0011	369408	406.3488
NETO US Equity	9/30/08	0.002	200426	400.852
NETO US Equity	6/30/08	0.0015	267571	401.3565
NETO US Equity	3/31/08	0.0012	261716	314.0592
NETO US Equity	12/31/07	0.001	345046	345.046
NETO US Equity	9/28/07	0.002	1090780	2181.56
NETO US Equity	6/29/07	0.002	59227	118.454
NETO US Equity	3/30/07	0.002	468220	936.44
NETO US Equity	12/29/06	0.001	984077	984.077
NETO US Equity	9/29/06	0.002	791787	1583.574
NETO US Equity	6/30/06	0.005	460062	2300.31
NETO US Equity	3/31/06	0.009	525593	4730.337
NETO US Equity	12/30/05	0.005	457570	2287.85
NETO US Equity	9/30/05	0.006	360231	2161.386
NETO US Equity	6/30/05	0.005	523352	2616.76
NETO US Equity	3/31/05	0.008	1190895	9527.16
NETO US Equity	12/31/04	0.0015	828183	1242.2745
NETO US Equity	9/30/04	0.01	1442056	14420.56
NETO US Equity	6/30/04	0.006	195028	1170.168
NETO US Equity	3/31/04	0.01	834637	8346.37
NETO US Equity	12/31/03	0.005	936223	4681.115
NETO US Equity	9/30/03	0.01	452100	4521
NETO US Equity	6/30/03	0.001	468900	468.9
NETO US Equity	3/31/03	0.0008	201700	161.36
NETO US Equity	12/31/02	0.0005	1221100	610.55
NETO US Equity	9/30/02	0.006	1612100	9672.6
NETO US Equity	6/28/02	0.015	799500	11992.5
NETO US Equity	3/28/02	0.007	1107600	7753.2
NETO US Equity	12/31/01	0.022	4021700	88477.4
NETO US Equity	9/28/01	0.027	13701100	369929.7
NETO US Equity	6/29/01	0.79	8845900	6988261
NETO US Equity	3/30/01	0.5	10731300	5365650
NETO US Equity	12/29/00	0.4688	14566400	6828728.32
NETO US Equity	9/29/00	3.125	19794200	61856875
NETO US Equity	6/30/00	9.125	22201300	202586862.5
NETO US Equity	3/31/00	22.75	31906200	725866050
NETO US Equity	12/31/99	16.5	29377800	484733700
NETO US Equity	9/30/99	5.625	16946500	95324062.5
NETO US Equity	6/30/99	8.0625	32559900	262514193.8
IKTO US Equity	9/29/17	0.0001	35573009	3557.3009
IKTO US Equity	6/30/17	0.0002	81258291	16251.6582
IKTO US Equity	3/31/17	0.0001	11744751	1174.4751
IKTO US Equity	12/30/16	0.0001	2368715	236.8715
IKTO US Equity	9/30/16	0.0001	1000216	100.0216
IKTO US Equity	6/30/16	0.0001	10377	1.0377
IKTO US Equity	3/31/16	0.0001	1033889	103.3889
IKTO US Equity	12/31/15	0.0001	2149239	214.9239
IKTO US Equity	9/30/15	0.0001	7970000	797
IKTO US Equity	6/30/15	0.0001	10997741	1099.7741
IKTO US Equity	3/31/15	0.0002	9109330	1821.866
IKTO US Equity	12/31/14	0.0001	3828181	382.8181
IKTO US Equity	9/30/14	0.0001	2279570	227.957
IKTO US Equity	6/30/14	0.0001	13444075	1344.4075
IKTO US Equity	3/31/14	0.0002	60806636	12161.3272
IKTO US Equity	9/30/13	0.0001	2811924	281.1924
IKTO US Equity	6/28/13	0.0001	6003548	600.3548
IKTO US Equity	3/28/13	0.0001	22073782	2207.3782
IKTO US Equity	12/31/12	0.0001	21929818	2192.9818
IKTO US Equity	9/28/12	0.0001	49560533	4956.0533
IKTO US Equity	6/29/12	0.0001	29328185	2932.8185
IKTO US Equity	3/30/12	0.0001	8313595	831.3595
IKTO US Equity	12/30/11	0.0001	59402652	5940.2652
IKTO US Equity	9/30/11	0.0004	96530009	38612.0036
IKTO US Equity	6/30/11	0.0003	456584543	136975.3629
IKTO US Equity	3/31/11	0.0002	991019964	198203.9928
IKTO US Equity	12/31/10	0.0183	1711464	31319.7912
IKTO US Equity	9/30/10	0.8438	1450535	1223961.433
IKTO US Equity	6/30/10	0.4063	3361891	1365936.313
IKTO US Equity	3/31/10	205	9177	1881285
IKTO US Equity	12/31/09	250	5961	1490250
AMCO US Equity	9/29/17	0.0001	169533	16.9533
AMCO US Equity	6/30/17	0.0001	88553	8.8553
AMCO US Equity	3/31/17	0.0001	518221	51.8221
AMCO US Equity	12/30/16	0.001	439502	439.502
AMCO US Equity	9/30/16	0.01	14069879	140698.79
AMCO US Equity	6/30/16	0.195	20845907	4064951.865
AMCO US Equity	3/31/16	0.33	6127232	2021986.56
AMCO US Equity	12/31/15	0.403	6062668	2443255.204
AMCO US Equity	9/30/15	0.24	4790738	1149777.12
AMCO US Equity	6/30/15	0.955	24553558	23448647.89
AMCO US Equity	3/31/15	1.14	8451372	9634564.08
AMCO US Equity	12/31/14	2.2738	3489613	7934682.039
AMCO US Equity	9/30/14	1.5019	1231189	1849122.759
AMCO US Equity	6/30/14	2.7	3385271	9140231.7
AMCO US Equity	3/31/14	3.9	2693896	10506194.4
AMCO US Equity	12/31/13	3.07	1177591	3615204.37
AMCO US Equity	9/30/13	3.8	797669	3031142.2
AMCO US Equity	6/28/13	3.1	675203	2093129.3
AMCO US Equity	3/28/13	3.75	931639	3493646.25
AMCO US Equity	12/31/12	4.8388	591467	2861990.52
AMCO US Equity	9/28/12	3.795	209385	794616.075
AMCO US Equity	6/29/12	4.2888	459421	1970364.785
AMCO US Equity	3/30/12	5	629763	3148815
AMCO US Equity	12/30/11	2.82	515237	1452968.34
AMCO US Equity	9/30/11	4.1	378624	1552358.4
AMCO US Equity	6/30/11	13.6	611745	8319732
AMCO US Equity	3/31/11	26.9	1331552	35818748.8
AMCO US Equity	12/31/10	38.8	2218679	86084745.2
AMCO US Equity	9/30/10	34.7	2529043	87757792.1
AMCO US Equity	6/30/10	29	4040693	117180097
AMCO US Equity	3/31/10	93.9	4843652	454818922.8
AMCO US Equity	12/31/09	31.7	150410	4767997
AMCO US Equity	9/30/09	31	198231	6145161
AMCO US Equity	6/30/09	20	2770	55400
AMCO US Equity	3/31/09	22.5	485	10912.5
AMCO US Equity	12/31/08	30	450	13500
AMCO US Equity	9/30/08	32.5	600	19500
AMCO US Equity	6/30/08	70	150	10500
ITLI US Equity	9/29/17	0.0001	1450	0.145
ITLI US Equity	6/30/17	0	6200	
ITLI US Equity	3/31/17	0.0001	7052	0.7052
ITLI US Equity	12/30/16	0.001	512809	512.809
ITLI US Equity	9/30/16	0.001	3400	3.4
ITLI US Equity	6/30/16	0.001	502587	502.587
ITLI US Equity	3/31/16	0.001	2000	2
ITLI US Equity	12/31/15	0.001	262	0.262
ITLI US Equity	9/30/15	0.0001	89605	8.9605
ITLI US Equity	6/30/15	0.0001	32170	3.217
ITLI US Equity	3/31/15	0.001	1463787	1463.787
ITLI US Equity	12/31/14	0.001	1471824	1471.824
ITLI US Equity	9/30/14	0.001	1113146	1113.146
ITLI US Equity	6/30/14	0.001	8134378	8134.378
ITLI US Equity	3/31/14	0.0004	290363	116.1452
ITLI US Equity	12/31/13	0.0004	240779	96.3116
ITLI US Equity	9/30/13	0.0005	1443221	721.6105
ITLI US Equity	6/28/13	0.0008	1064321	851.4568
ITLI US Equity	3/28/13	0.0005	6919711	3459.8555
ITLI US Equity	12/31/12	0.0005	1186501	593.2505
ITLI US Equity	9/28/12	0.003	2269302	6807.906
ITLI US Equity	6/29/12	0.0016	20287634	32460.2144
ITLI US Equity	3/30/12	0.0005	658847	329.4235
ITLI US Equity	12/30/11	0.0003	672525	201.7575
ITLI US Equity	9/30/11	0.0007	10422256	7295.5792
ITLI US Equity	6/30/11	0.0007	1223804	856.6628
ITLI US Equity	3/31/11	0.0012	6428729	7714.4748
ITLI US Equity	12/31/10	0.0012	653961	784.7532
ITLI US Equity	9/30/10	0.001	281593	281.593
ITLI US Equity	6/30/10	0.0025	298587	746.4675
ITLI US Equity	3/31/10	0.0025	808698	2021.745
ITLI US Equity	12/31/09	0.0013	1154245	1500.5185
ITLI US Equity	9/30/09	0.001	1576308	1576.308
ITLI US Equity	6/30/09	0.002	7695207	15390.414
ITLI US Equity	3/31/09	0.001	589353	589.353
ITLI US Equity	12/31/08	0.0025	1776048	4440.12
ITLI US Equity	9/30/08	0.03	828665	24859.95
ITLI US Equity	6/30/08	0.25	3349016	837254
ITLI US Equity	3/31/08	0.28	1936354	542179.12
ITLI US Equity	12/31/07	0.53	11565620	6129778.6
ITLI US Equity	9/28/07	1.21	5507059	6663541.39
ITLI US Equity	6/29/07	1.22	13683086	16693364.92
ITLI US Equity	3/30/07	1.71	9989205	17081540.55
ITLI US Equity	12/29/06	1.04	1610400	1674816
IMGI US Equity	9/29/17	0.0001	208588	20.8588
IMGI US Equity	6/30/17	0.0001	69187	6.9187
IMGI US Equity	3/31/17	0.001	9934	9.934
IMGI US Equity	12/30/16	0.001	31807	31.807
IMGI US Equity	9/30/16	0.000125	102723	12.840375
IMGI US Equity	6/30/16	0.000875	10215	8.938125
IMGI US Equity	3/31/16	0.001	3440	3.44
IMGI US Equity	12/31/15	0.001	29669	29.669
IMGI US Equity	9/30/15	0.000125	2292	0.2865
IMGI US Equity	6/30/15	0.001	7223	7.223
IMGI US Equity	3/31/15	0.000125	56159	7.019875
IMGI US Equity	12/31/14	0.001	21546	21.546
IMGI US Equity	9/30/14	0.000125	19794	2.47425
IMGI US Equity	6/30/14	0.000125	20041	2.505125
IMGI US Equity	3/31/14	0.000125	21053	2.631625
IMGI US Equity	12/31/13	0.000125	5998	0.74975
IMGI US Equity	9/30/13	0.000125	4016	0.502
IMGI US Equity	6/28/13	0.000125	34069	4.258625
IMGI US Equity	3/28/13	0.000125	12808	1.601
IMGI US Equity	12/31/12	0.000125	16465	2.058125
IMGI US Equity	9/28/12	0.000125	552022	69.00275
IMGI US Equity	6/29/12	0.000125	2866	0.35825
IMGI US Equity	3/30/12	0.000125	875308	109.4135
IMGI US Equity	12/30/11	0.000125	6214	0.77675
IMGI US Equity	9/30/11	0.000125	1667	0.208375
IMGI US Equity	6/30/11	0.000125	1000	0.125
IMGI US Equity	3/31/11	0.000125	1994	0.24925
IMGI US Equity	12/31/10	0.000125	333	0.041625
IMGI US Equity	9/30/10	0.000125	178700	22.3375
IMGI US Equity	6/30/10	0.000125	22856	2.857
IMGI US Equity	3/31/10	0.000125	44677	5.584625
IMGI US Equity	12/31/09	0.000125	205819	25.727375
IMGI US Equity	9/30/09	0.000125	597311	74.663875
IMGI US Equity	6/30/09	0.000125	133079	16.634875
IMGI US Equity	3/31/09	0.000125	13197	1.649625
IMGI US Equity	12/31/08	0.000125	79890	9.98625
IMGI US Equity	9/30/08	0.000125	33472	4.184
IMGI US Equity	6/30/08	0.000125	306311	38.288875
IMGI US Equity	3/31/08	0.000125	169784	21.223
IMGI US Equity	12/31/07	0.000188	430930	81.01484
IMGI US Equity	9/28/07	0.000125	51469	6.433625
IMGI US Equity	6/29/07	0.000125	73662	9.20775
IMGI US Equity	3/30/07	0.000125	83751	10.468875
IMGI US Equity	12/29/06	0.000125	106910	13.36375
IMGI US Equity	9/29/06	0.000125	1667	0.208375
IMGI US Equity	6/30/06	0.000125	1501	0.187625
IMGI US Equity	3/31/06	0.000125	9374	1.17175
IMGI US Equity	12/30/05	0.000125	64615	8.076875
IMGI US Equity	9/30/05	0.000125	5463	0.682875
IMGI US Equity	6/30/05	0.000125	64973	8.121625
IMGI US Equity	3/31/05	0.000125	221957	27.744625
IMGI US Equity	12/31/04	0.000125	278404	34.8005
IMGI US Equity	9/30/04	0.000125	173083	21.635375
IMGI US Equity	6/30/04	0.000125	57743	7.217875
IMGI US Equity	3/31/04	0.000125	266731	33.341375
IMGI US Equity	12/31/03	0.000125	538096	67.262
IMGI US Equity	9/30/03	0.000125	441600	55.2
IMGI US Equity	6/30/03	0.000125	154800	19.35
IMGI US Equity	3/31/03	0.000125	157400	19.675
IMGI US Equity	12/31/02	0.000125	1532200	191.525
IMGI US Equity	9/30/02	0.000125	530400	66.3
IMGI US Equity	6/28/02	0.000125	3450300	431.2875
IMGI US Equity	3/28/02	0.035	8886200	311017
IMGI US Equity	12/31/01	0.192	10922299	2097081.408
IMGI US Equity	9/28/01	0.168	2104633	353578.344
IMGI US Equity	6/29/01	0.45	8594099	3867344.55
IMGI US Equity	3/30/01	0.12	17516965	2102035.8
IMGI US Equity	12/29/00	0.28125	8190399	2303549.719
IMGI US Equity	9/29/00	1.59375	6935999	11054248.41
IMGI US Equity	6/30/00	3.1875	6563199	20920196.81
IMGI US Equity	3/31/00	8.062501	8856566	71406072.23
IMGI US Equity	12/31/99	12.750001	14489665	184743243.2
IMGI US Equity	9/30/99	7.125001	9729199	69320552.6
IMGI US Equity	6/30/99	6.750001	9201299	62108777.45
IMGI US Equity	3/31/99	11.906251	62550360	744740286.3
IMGI US Equity	12/31/98	4.125	4800366	19801509.75
IMGI US Equity	9/30/98	2.71875	1439867	3914638.406
IMGI US Equity	6/30/98	4.40625	1251533	5514567.281
IMGI US Equity	3/31/98	4.125	1082833	4466686.125
IMGI US Equity	12/31/97	4.3125	1229100	5300493.75
IMGI US Equity	9/30/97	6.000001	1098467	6590803.098
IMGI US Equity	6/30/97	5.437501	463667	2521189.776
IMGI US Equity	3/31/97	3	435867	1307601
IMGI US Equity	12/31/96	4.125	313433	1292911.125
IMGI US Equity	9/30/96	6.937501	477333	3311498.165
IMGI US Equity	6/28/96	8.625001	465467	4014653.34
IMGI US Equity	3/29/96	9.375001	435267	4080628.56
IMGI US Equity	12/29/95	11.250001	628633	7072121.879
IMGI US Equity	9/29/95	14.812501	1425467	21114731.36
IMGI US Equity	6/30/95	10.875001	456700	4966612.957
IMGI US Equity	3/31/95	14.062501	1570833	22089840.63
MPEG US Equity	9/29/17	0.0001	40000	4
MPEG US Equity	6/30/17	0.000125	12000	1.5
MPEG US Equity	3/31/17	0.000125	23800	2.975
MPEG US Equity	12/30/16	0.000125	4200	0.525
MPEG US Equity	6/30/16	0.000125	11300	1.4125
MPEG US Equity	3/31/16	0.000125	24575	3.071875
MPEG US Equity	12/31/15	0.000125	200	0.025
MPEG US Equity	9/30/15	0.000125	500	0.0625
MPEG US Equity	6/30/15	0.000125	6800	0.85
MPEG US Equity	3/31/15	0.000125	37540	4.6925
MPEG US Equity	12/31/14	0.000125	133395	16.674375
MPEG US Equity	9/30/14	0.000125	32702	4.08775
MPEG US Equity	6/30/14	0.000125	91058	11.38225
MPEG US Equity	3/31/14	0.000125	8701	1.087625
MPEG US Equity	12/31/13	0.000125	39100	4.8875
MPEG US Equity	9/30/13	0.000125	57017	7.127125
MPEG US Equity	6/28/13	0.000125	13240	1.655
MPEG US Equity	3/28/13	0.000125	2000	0.25
MPEG US Equity	12/31/12	0.000125	30700	3.8375
MPEG US Equity	9/28/12	0.000125	257311	32.163875
MPEG US Equity	6/29/12	0.000125	52000	6.5
MPEG US Equity	3/30/12	0.000188	4370	0.82156
MPEG US Equity	12/30/11	0.000188	133900	25.1732
MPEG US Equity	3/31/11	0.000125	5050	0.63125
MPEG US Equity	12/31/10	0.006	55500	333
MPEG US Equity	9/30/10	0.000125	172753	21.594125
MPEG US Equity	6/30/10	0.000125	1142959	142.869875
MPEG US Equity	3/31/10	0.000125	404617	50.577125
MPEG US Equity	12/31/09	0.000125	331849	41.481125
MPEG US Equity	9/30/09	0.000125	184825	23.103125
MPEG US Equity	6/30/09	0.000125	284690	35.58625
MPEG US Equity	3/31/09	0.000125	70785	8.848125
MPEG US Equity	12/31/08	0.000125	133363	16.670375
MPEG US Equity	9/30/08	0.000125	696900	87.1125
MPEG US Equity	6/30/08	0.000125	1081207	135.150875
MPEG US Equity	3/31/08	0.000125	125085	15.635625
MPEG US Equity	12/31/07	0.000125	257234	32.15425
MPEG US Equity	9/28/07	0.001	229170	229.17
MPEG US Equity	6/29/07	0.000125	377345	47.168125
MPEG US Equity	3/30/07	0.000125	195291	24.411375
MPEG US Equity	12/29/06	0.000125	874909	109.363625
MPEG US Equity	9/29/06	0.000125	28230	3.52875
MPEG US Equity	6/30/06	0.000125	301565	37.695625
MPEG US Equity	3/31/06	0.000125	341040	42.63
MPEG US Equity	12/30/05	0.000125	1158280	144.785
MPEG US Equity	9/30/05	0.000125	73233	9.154125
MPEG US Equity	6/30/05	0.000125	935001	116.875125
MPEG US Equity	3/31/05	0.000125	42900	5.3625
MPEG US Equity	12/31/04	0.000125	1197407	149.675875
MPEG US Equity	9/30/04	0.000125	100325	12.540625
MPEG US Equity	6/30/04	0.000125	1142001	142.750125
MPEG US Equity	3/31/04	0.000125	536565	67.070625
MPEG US Equity	12/31/03	0.000125	998716	124.8395
MPEG US Equity	9/30/03	0.000125	1168000	146
MPEG US Equity	6/30/03	0.000125	246300	30.7875
MPEG US Equity	3/31/03	0.000125	282400	35.3
MPEG US Equity	12/31/02	0.000125	1742900	217.8625
MPEG US Equity	9/30/02	0.000125	867200	108.4
MPEG US Equity	6/28/02	0.000125	2547100	318.3875
MPEG US Equity	3/28/02	0.000125	1505000	188.125
MPEG US Equity	12/31/01	0.000125	5612400	701.55
MPEG US Equity	9/28/01	0.001	1365400	1365.4
MPEG US Equity	6/29/01	0.001	7183100	7183.1
MPEG US Equity	3/30/01	0.016	65045000	1040720
MPEG US Equity	12/29/00	0.076	44250900	3363068.4
MPEG US Equity	9/29/00	0.295	14332700	4228146.5
MPEG US Equity	6/30/00	0.65	16685900	10845835
MPEG US Equity	3/31/00	1.46875	72807800	106936456.3
MPEG US Equity	12/31/99	0.37	12877200	4764564
MPEG US Equity	9/30/99	0.17	4463300	758761
MPEG US Equity	6/30/99	0.425	10082400	4285020
MPEG US Equity	3/31/99	0.2	4986100	997220
MPEG US Equity	12/31/98	0.1	6180700	618070
MPEG US Equity	9/30/98	0.09	5606400	504576
MPEG US Equity	6/30/98	0.33	13028500	4299405
MPEG US Equity	3/31/98	2.53125	5921800	14989556.25
MPEG US Equity	12/31/97	2.3125	9112700	21073118.75
MPEG US Equity	9/30/97	3.46875	8624800	29917275
MPEG US Equity	6/30/97	2.5625	5931900	15200493.75
MPEG US Equity	3/31/97	4.9375	10155200	50141300
MPEG US Equity	12/31/96	5.25	2747200	14422800
MPEG US Equity	9/30/96	8.125	2823100	22937687.5
TLVA US Equity	9/29/17	0.02	3467	69.34
TLVA US Equity	6/30/17	0.02	400	8
TLVA US Equity	3/31/17	0.02	502	10.04
TLVA US Equity	12/30/16	0.02	200	4
TLVA US Equity	9/30/16	0.011	367	4.037
TLVA US Equity	6/30/16	0.0775	100	7.75
TLVA US Equity	3/31/16	0.011	300	3.3
TLVA US Equity	12/31/15	0.011	961	10.571
TLVA US Equity	9/30/15	0.1	3188	318.8
TLVA US Equity	6/30/15	0.1	1737	173.7
TLVA US Equity	3/31/15	0.1	5995	599.5
TLVA US Equity	12/31/14	0.08	2766	221.28
TLVA US Equity	9/30/14	0.55	2115	1163.25
TLVA US Equity	6/30/14	0.16	2182	349.12
TLVA US Equity	3/31/14	0.45	1358	611.1
TLVA US Equity	12/31/13	0.35	4628	1619.8
TLVA US Equity	9/30/13	3	2142	6426
TLVA US Equity	6/28/13	1.875	2418	4533.75
TLVA US Equity	3/28/13	0.375	86	32.25
TLVA US Equity	12/31/12	0.4688	824	386.2912
TLVA US Equity	9/28/12	0.75	404	303
TLVA US Equity	6/29/12	0.2813	1071	301.2723
TLVA US Equity	3/30/12	0.5156	380	195.928
TLVA US Equity	12/30/11	0.5156	536	276.3616
TLVA US Equity	9/30/11	7.5	116	870
TLVA US Equity	6/30/11	22.5	1425	32062.5
TLVA US Equity	3/31/11	0.6563	165	108.2895
TLVA US Equity	12/31/10	0.6094	181	110.3014
TLVA US Equity	9/30/10	0.1406	329	46.2574
TLVA US Equity	6/30/10	3.75	289	1083.75
TLVA US Equity	3/31/10	6.75	526	3550.5
TLVA US Equity	12/31/09	10.2656	205	2104.448
TLVA US Equity	9/30/09	9.8438	76	748.1288
TLVA US Equity	6/30/09	7.5	125	937.5
TLVA US Equity	3/31/09	11.25	132	1485
TLVA US Equity	12/31/08	7.5	326	2445
TLVA US Equity	9/30/08	30	1137	34110
TLVA US Equity	6/30/08	18.75	2932	54975
TLVA US Equity	3/31/08	307.5001	2464	757680.2464
TLVA US Equity	12/31/07	540.0001	521	281340.0521
TLVA US Equity	9/28/07	765.0002	1233	943245.2466
TLVA US Equity	6/29/07	225.0001	90	20250.009
TLVA US Equity	3/30/07	465.0001	546	253890.0546
TLVA US Equity	12/29/06	540.0001	917	495180.0917
TLVA US Equity	9/29/06	750.0002	423	317250.0846
TLVA US Equity	6/30/06	848.344	1130	958628.72
TLVA US Equity	3/31/06	300.0001	519	155700.0519
TLVA US Equity	12/30/05	270.0938	333	89941.2354
TLVA US Equity	9/30/05	456.3751	377	172053.4127
TLVA US Equity	6/30/05	382.5001	111	42457.5111
TLVA US Equity	3/31/05	420.0001	225	94500.0225
TLVA US Equity	12/31/04	390.0001	398	155220.0398
TLVA US Equity	9/30/04	442.5001	300	132750.03
TLVA US Equity	6/30/04	697.5002	690	481275.138
TLVA US Equity	3/31/04	840.0002	1104	927360.2208
TLVA US Equity	12/31/03	690.0002	1566	1080540.313
TLVA US Equity	9/30/03	1020.0003	2774	2829480.832
TLVA US Equity	6/30/03	1350.0003	2157	2911950.647
TLVA US Equity	3/31/03	330.0001	415	136950.0415
TLVA US Equity	12/31/02	165	174	28710
TLVA US Equity	9/30/02	225.0001	351	78975.0351
TLVA US Equity	6/28/02	862.5002	494	426075.0988
TLVA US Equity	3/28/02	1387.5003	1045	1449937.814
TLVA US Equity	12/31/01	1282.5003	468	600210.1404
TLVA US Equity	9/28/01	937.5002	123	115312.5246
TLVA US Equity	6/29/01	1012.5003	117	118462.5351
TLVA US Equity	3/30/01	772.5002	95	73387.519
TLVA US Equity	12/29/00	328.1251	244	80062.5244
TLVA US Equity	9/29/00	562.5001	193	108562.5193
TLVA US Equity	6/30/00	750.0002	276	207000.0552
TLVA US Equity	3/31/00	796.8752	457	364171.9664
TLVA US Equity	12/31/99	1031.2503	727	749718.9681
TLVA US Equity	9/30/99	1968.7505	663	1305281.582
TLVA US Equity	6/30/99	3375.0008	1432	4833001.146
TLVA US Equity	3/31/99	4593.7511	1055	4846407.411
TLVA US Equity	12/31/98	3187.5008	1469	4682438.675
TLVA US Equity	9/30/98	4312.5011	2452	10574252.7
TLVA US Equity	6/30/98	5578.1264	370	2063906.768
EWSI US Equity	9/29/17	0.0001	357511776	35751.1776
EWSI US Equity	6/30/17	0.0004	662911355	265164.542
